"bmicat","gawk","mu","sigma","nu","tau","P1","P2.3","P3","P5","P10","P16","P20","P25","P50","P75","P80","P84","P90","P95","P97","P97.7","P99"
"obesityclassI",10,0.7021,2.9147,1.3681,2.2364,-3.03,-2,-1.74,-1.3,-0.81,-0.51,-0.37,-0.22,0.4,1.23,1.5,1.78,2.41,3.54,4.58,5.21,7.7
"obesityclassI",11,0.806,2.9594,1.3625,2.2813,-3.25,-2.15,-1.86,-1.38,-0.84,-0.51,-0.36,-0.2,0.49,1.4,1.69,1.99,2.68,3.89,5,5.67,8.3
"obesityclassI",12,0.9157,3.0053,1.3562,2.3358,-3.48,-2.3,-1.99,-1.48,-0.88,-0.52,-0.35,-0.17,0.58,1.58,1.89,2.22,2.96,4.26,5.43,6.14,8.91
"obesityclassI",13,1.0414,3.0524,1.3493,2.4016,-3.71,-2.45,-2.12,-1.56,-0.92,-0.52,-0.33,-0.14,0.69,1.78,2.12,2.47,3.27,4.65,5.89,6.64,9.52
"obesityclassI",14,1.1951,3.1008,1.3417,2.4808,-3.92,-2.59,-2.23,-1.63,-0.93,-0.5,-0.29,-0.08,0.83,2.02,2.39,2.77,3.62,5.08,6.38,7.16,10.14
"obesityclassI",15,1.3882,3.1503,1.3337,2.5756,-4.09,-2.69,-2.31,-1.67,-0.92,-0.44,-0.22,0.02,1.01,2.3,2.7,3.1,4.01,5.55,6.9,7.7,10.75
"obesityclassI",16,1.6231,3.2012,1.3255,2.6885,-4.21,-2.75,-2.35,-1.67,-0.86,-0.35,-0.1,0.15,1.24,2.63,3.06,3.49,4.45,6.06,7.46,8.28,11.37
"obesityclassI",17,1.8954,3.2538,1.3173,2.8226,-4.27,-2.76,-2.35,-1.64,-0.77,-0.22,0.05,0.33,1.5,3,3.46,3.92,4.93,6.59,8.03,8.86,11.96
"obesityclassI",18,2.2003,3.3084,1.3094,2.981,-4.29,-2.74,-2.32,-1.57,-0.65,-0.06,0.23,0.53,1.81,3.41,3.89,4.38,5.43,7.16,8.61,9.45,12.54
"obesityclassI",19,2.5333,3.3651,1.3021,3.1675,-4.24,-2.68,-2.24,-1.46,-0.5,0.13,0.44,0.77,2.14,3.85,4.36,4.87,5.97,7.73,9.21,10.05,13.09
"obesityclassI",20,2.8895,3.4243,1.2955,3.3852,-4.15,-2.58,-2.13,-1.33,-0.32,0.35,0.68,1.03,2.5,4.31,4.85,5.38,6.52,8.32,9.8,10.64,13.62
"obesityclassI",21,3.264,3.4859,1.2897,3.6375,-4.02,-2.44,-1.99,-1.17,-0.12,0.58,0.94,1.31,2.87,4.79,5.35,5.91,7.08,8.91,10.39,11.22,14.14
"obesityclassI",22,3.6522,3.5502,1.2848,3.927,-3.85,-2.28,-1.82,-0.99,0.1,0.84,1.21,1.6,3.26,5.29,5.87,6.45,7.65,9.51,10.98,11.8,14.64
"obesityclassI",23,4.0507,3.6173,1.2808,4.256,-3.65,-2.09,-1.63,-0.78,0.33,1.11,1.49,1.91,3.66,5.79,6.39,6.99,8.23,10.1,11.57,12.37,15.13
"obesityclassI",24,4.4562,3.687,1.2777,4.6254,-3.42,-1.88,-1.42,-0.56,0.58,1.38,1.79,2.23,4.07,6.29,6.92,7.53,8.8,10.69,12.15,12.94,15.63
"obesityclassI",25,4.8656,3.7594,1.2755,5.0348,-3.18,-1.66,-1.2,-0.33,0.84,1.67,2.1,2.55,4.48,6.79,7.45,8.08,9.37,11.28,12.73,13.51,16.13
"obesityclassI",26,5.2761,3.8347,1.2741,5.4843,-2.93,-1.43,-0.97,-0.09,1.1,1.96,2.4,2.88,4.89,7.3,7.97,8.61,9.94,11.86,13.31,14.08,16.63
"obesityclassI",27,5.6852,3.9131,1.2735,5.9756,-2.68,-1.19,-0.73,0.15,1.37,2.25,2.71,3.2,5.3,7.79,8.49,9.15,10.5,12.44,13.88,14.65,17.15
"obesityclassI",28,6.0904,3.9949,1.2735,6.5108,-2.43,-0.96,-0.49,0.39,1.64,2.54,3.01,3.53,5.71,8.29,9,9.68,11.05,13.01,14.46,15.22,17.68
"obesityclassI",29,6.4898,4.0806,1.2742,7.093,-2.19,-0.73,-0.26,0.63,1.9,2.83,3.31,3.84,6.1,8.77,9.5,10.2,11.6,13.59,15.03,15.79,18.22
"obesityclassI",30,6.8828,4.1705,1.2754,7.7274,-1.96,-0.51,-0.04,0.86,2.15,3.11,3.61,4.15,6.49,9.25,10,10.72,12.15,14.16,15.61,16.36,18.77
"obesityclassI",31,7.2689,4.265,1.2771,8.4214,-1.75,-0.3,0.17,1.08,2.39,3.38,3.89,4.45,6.87,9.72,10.49,11.23,12.69,14.73,16.19,16.94,19.33
"obesityclassI",32,7.6479,4.3644,1.2792,9.1844,-1.55,-0.1,0.37,1.29,2.63,3.63,4.16,4.74,7.25,10.18,10.98,11.73,13.23,15.29,16.77,17.52,19.9
"obesityclassI",33,8.0188,4.4691,1.2815,10.0266,-1.37,0.09,0.56,1.49,2.85,3.88,4.43,5.02,7.61,10.64,11.46,12.23,13.76,15.86,17.35,18.11,20.48
"obesityclassI",34,8.3801,4.5794,1.284,10.9595,-1.2,0.25,0.73,1.68,3.06,4.12,4.68,5.29,7.96,11.09,11.93,12.73,14.29,16.43,17.93,18.7,21.07
"obesityclassI",35,8.7306,4.6957,1.2864,11.9973,-1.06,0.4,0.88,1.84,3.25,4.34,4.91,5.54,8.3,11.53,12.4,13.21,14.82,16.99,18.51,19.29,21.67
"obesityclassI",36,9.0691,4.8181,1.2888,13.1556,-0.95,0.52,1.01,1.98,3.43,4.54,5.13,5.78,8.63,11.96,12.86,13.69,15.34,17.56,19.1,19.88,22.27
"obesityclassI",37,9.3948,4.9465,1.2911,14.4498,-0.86,0.63,1.12,2.11,3.58,4.72,5.33,6,8.95,12.39,13.3,14.17,15.85,18.12,19.68,20.47,22.88
"obesityclassI",38,9.7067,5.0808,1.2934,15.8975,-0.8,0.7,1.2,2.21,3.72,4.89,5.52,6.21,9.25,12.8,13.74,14.63,16.36,18.67,20.26,21.07,23.5
"obesityclassI",39,10.0047,5.2207,1.2958,17.5186,-0.76,0.76,1.27,2.29,3.83,5.04,5.68,6.4,9.54,13.2,14.17,15.08,16.86,19.23,20.85,21.66,24.11
"obesityclassI",40,10.2916,5.366,1.2982,19.3334,-0.74,0.8,1.31,2.36,3.93,5.17,5.84,6.57,9.81,13.59,14.59,15.53,17.35,19.77,21.43,22.25,24.74
"obesityclassI",41,10.5711,5.5163,1.3007,21.3637,-0.74,0.82,1.34,2.41,4.02,5.29,5.98,6.73,10.08,13.98,15.01,15.98,17.85,20.33,22.01,22.85,25.37
"obesityclassII",8,0.4435,3.1722,1.0989,2.4038,-6.09,-4.12,-3.61,-2.75,-1.78,-1.19,-0.93,-0.66,0.31,1.39,1.71,2.04,2.76,4,5.11,5.77,8.32
"obesityclassII",9,0.4307,3.2345,1.0968,2.485,-6.54,-4.48,-3.94,-3.03,-1.98,-1.35,-1.06,-0.77,0.3,1.47,1.82,2.17,2.95,4.27,5.44,6.13,8.78
"obesityclassII",10,0.4277,3.2979,1.0948,2.5821,-6.95,-4.82,-4.26,-3.3,-2.18,-1.51,-1.19,-0.87,0.29,1.57,1.94,2.32,3.16,4.55,5.77,6.48,9.2
"obesityclassII",11,0.4402,3.3625,1.0928,2.6977,-7.33,-5.14,-4.56,-3.55,-2.38,-1.65,-1.31,-0.97,0.3,1.68,2.09,2.49,3.38,4.84,6.11,6.84,9.61
"obesityclassII",12,0.4739,3.4284,1.091,2.8345,-7.65,-5.43,-4.83,-3.78,-2.55,-1.77,-1.41,-1.04,0.33,1.82,2.26,2.69,3.63,5.15,6.45,7.2,9.99
"obesityclassII",13,0.5342,3.4953,1.0893,2.9947,-7.91,-5.67,-5.06,-3.98,-2.69,-1.87,-1.48,-1.09,0.39,1.99,2.45,2.91,3.9,5.48,6.81,7.57,10.35
"obesityclassII",14,0.6261,3.5635,1.0877,3.1798,-8.09,-5.86,-5.24,-4.14,-2.79,-1.93,-1.52,-1.1,0.48,2.19,2.68,3.16,4.19,5.82,7.17,7.93,10.7
"obesityclassII",15,0.7547,3.6328,1.0865,3.3908,-8.21,-5.99,-5.36,-4.24,-2.86,-1.96,-1.52,-1.08,0.61,2.43,2.94,3.45,4.52,6.19,7.55,8.31,11.04
"obesityclassII",16,0.9212,3.7034,1.0856,3.6279,-8.25,-6.05,-5.43,-4.3,-2.87,-1.94,-1.48,-1.01,0.78,2.7,3.24,3.77,4.87,6.58,7.95,8.71,11.39
"obesityclassII",17,1.1241,3.7754,1.0851,3.8915,-8.23,-6.07,-5.44,-4.3,-2.85,-1.87,-1.4,-0.9,0.98,3,3.57,4.12,5.26,6.99,8.36,9.12,11.76
"obesityclassII",18,1.3617,3.8493,1.0851,4.181,-8.16,-6.03,-5.4,-4.26,-2.78,-1.77,-1.28,-0.76,1.22,3.34,3.92,4.49,5.67,7.43,8.81,9.56,12.14
"obesityclassII",19,1.6313,3.9252,1.0856,4.4956,-8.05,-5.95,-5.32,-4.17,-2.67,-1.63,-1.12,-0.59,1.48,3.7,4.31,4.9,6.1,7.89,9.27,10.02,12.55
"obesityclassII",20,1.9278,4.0037,1.0867,4.8353,-7.9,-5.83,-5.21,-4.06,-2.52,-1.46,-0.94,-0.38,1.78,4.09,4.72,5.32,6.56,8.38,9.76,10.5,12.99
"obesityclassII",21,2.2458,4.0852,1.0884,5.2006,-7.72,-5.69,-5.07,-3.91,-2.36,-1.27,-0.73,-0.15,2.09,4.49,5.15,5.77,7.04,8.88,10.26,11,13.46
"obesityclassII",22,2.5799,4.1703,1.0907,5.5922,-7.53,-5.52,-4.91,-3.74,-2.17,-1.06,-0.5,0.09,2.42,4.91,5.59,6.23,7.53,9.4,10.79,11.53,13.96
"obesityclassII",23,2.9254,4.2594,1.0936,6.0121,-7.33,-5.35,-4.73,-3.57,-1.97,-0.83,-0.26,0.35,2.76,5.35,6.04,6.7,8.03,9.93,11.33,12.07,14.48
"obesityclassII",24,3.2776,4.353,1.0971,6.4636,-7.14,-5.17,-4.56,-3.38,-1.77,-0.61,-0.02,0.61,3.11,5.78,6.5,7.18,8.55,10.47,11.89,12.63,15.02
"obesityclassII",25,3.632,4.4517,1.101,6.951,-6.94,-4.99,-4.38,-3.2,-1.56,-0.38,0.23,0.88,3.45,6.22,6.96,7.67,9.06,11.03,12.45,13.2,15.58
"obesityclassII",26,3.9872,4.5559,1.1054,7.4797,-6.76,-4.82,-4.21,-3.02,-1.36,-0.15,0.47,1.14,3.8,6.67,7.43,8.15,9.59,11.59,13.03,13.78,16.16
"obesityclassII",27,4.3444,4.6657,1.1101,8.055,-6.58,-4.65,-4.04,-2.85,-1.16,0.08,0.71,1.4,4.15,7.11,7.9,8.65,10.12,12.16,13.62,14.37,16.76
"obesityclassII",28,4.705,4.7813,1.1152,8.6838,-6.41,-4.49,-3.88,-2.67,-0.96,0.3,0.95,1.66,4.5,7.57,8.38,9.15,10.66,12.74,14.22,14.98,17.38
"obesityclassII",29,5.0709,4.9029,1.1205,9.3741,-6.25,-4.33,-3.71,-2.5,-0.76,0.53,1.2,1.92,4.85,8.03,8.87,9.66,11.21,13.34,14.84,15.61,18.02
"obesityclassII",30,5.4448,5.0302,1.1261,10.1335,-6.09,-4.17,-3.55,-2.33,-0.56,0.76,1.44,2.19,5.21,8.5,9.36,10.18,11.78,13.95,15.48,16.26,18.69
"obesityclassII",31,5.8296,5.1633,1.1319,10.9708,-5.93,-4.01,-3.39,-2.15,-0.36,1,1.7,2.46,5.58,8.98,9.88,10.72,12.36,14.59,16.14,16.94,19.38
"obesityclassII",32,6.2278,5.3018,1.138,11.896,-5.77,-3.85,-3.22,-1.97,-0.14,1.24,1.96,2.75,5.97,9.48,10.41,11.27,12.96,15.24,16.83,17.64,20.11
"obesityclassII",33,6.6391,5.4456,1.1442,12.9195,-5.61,-3.68,-3.04,-1.77,0.08,1.5,2.24,3.04,6.36,10,10.95,11.85,13.59,15.92,17.54,18.36,20.86
"obesityclassII",34,7.0619,5.5944,1.1505,14.0523,-5.44,-3.5,-2.86,-1.58,0.31,1.76,2.52,3.34,6.77,10.53,11.51,12.43,14.23,16.62,18.27,19.11,21.64
"obesityclassII",35,7.4946,5.7479,1.1571,15.3068,-5.28,-3.32,-2.67,-1.37,0.55,2.03,2.8,3.65,7.19,11.07,12.09,13.04,14.88,17.34,19.03,19.88,22.45
"obesityclassII",36,7.9352,5.9059,1.1637,16.6962,-5.11,-3.14,-2.49,-1.17,0.79,2.3,3.1,3.97,7.61,11.62,12.67,13.65,15.55,18.07,19.8,20.66,23.28
"obesityclassII",37,8.3816,6.0683,1.1705,18.2347,-4.95,-2.96,-2.3,-0.96,1.03,2.58,3.39,4.29,8.04,12.18,13.27,14.28,16.23,18.82,20.58,21.47,24.12
"obesityclassII",38,8.8316,6.2351,1.1775,19.9375,-4.79,-2.79,-2.11,-0.76,1.27,2.85,3.69,4.61,8.47,12.75,13.87,14.91,16.92,19.58,21.38,22.28,24.99
"obesityclassII",39,9.2831,6.4063,1.1845,21.8215,-4.63,-2.61,-1.93,-0.56,1.51,3.12,3.98,4.92,8.9,13.32,14.47,15.54,17.62,20.35,22.19,23.11,25.87
"obesityclassII",40,9.7357,6.582,1.1915,23.9053,-4.49,-2.45,-1.76,-0.36,1.75,3.4,4.27,5.24,9.33,13.89,15.08,16.19,18.32,21.12,23.01,23.96,26.76
"obesityclassII",41,10.189,6.7625,1.1987,26.2095,-4.35,-2.29,-1.59,-0.17,1.98,3.66,4.56,5.55,9.76,14.46,15.69,16.83,19.03,21.91,23.85,24.81,27.68
"obesityclassIII",8,0.2947,3.3613,1.0212,2.4104,-7.25,-4.91,-4.3,-3.28,-2.12,-1.44,-1.13,-0.82,0.26,1.37,1.69,2.02,2.74,3.95,5.04,5.68,8.17
"obesityclassIII",9,0.2754,3.4255,1.0263,2.5015,-7.72,-5.3,-4.66,-3.59,-2.36,-1.63,-1.29,-0.95,0.23,1.45,1.81,2.16,2.94,4.25,5.41,6.09,8.69
"obesityclassIII",10,0.2598,3.4908,1.0316,2.6118,-8.14,-5.67,-5.01,-3.89,-2.6,-1.81,-1.45,-1.09,0.21,1.55,1.93,2.32,3.16,4.56,5.77,6.48,9.17
"obesityclassIII",11,0.2504,3.5573,1.037,2.7444,-8.51,-6.01,-5.34,-4.19,-2.83,-2,-1.61,-1.22,0.19,1.65,2.07,2.48,3.39,4.87,6.14,6.87,9.62
"obesityclassIII",12,0.2506,3.6249,1.0425,2.9025,-8.82,-6.32,-5.64,-4.46,-3.05,-2.17,-1.76,-1.34,0.18,1.76,2.21,2.66,3.62,5.18,6.49,7.24,10.03
"obesityclassIII",13,0.2668,3.6937,1.0482,3.089,-9.06,-6.59,-5.9,-4.7,-3.25,-2.33,-1.9,-1.45,0.18,1.89,2.37,2.85,3.87,5.49,6.83,7.6,10.39
"obesityclassIII",14,0.306,3.7636,1.054,3.3064,-9.23,-6.8,-6.12,-4.91,-3.42,-2.46,-2,-1.53,0.21,2.04,2.56,3.06,4.13,5.81,7.18,7.95,10.72
"obesityclassIII",15,0.3753,3.8348,1.0598,3.5562,-9.33,-6.95,-6.28,-5.06,-3.55,-2.56,-2.08,-1.58,0.27,2.22,2.76,3.3,4.41,6.14,7.53,8.3,11.04
"obesityclassIII",16,0.4777,3.9074,1.0658,3.8401,-9.36,-7.05,-6.38,-5.17,-3.63,-2.61,-2.11,-1.59,0.36,2.43,3,3.56,4.72,6.49,7.89,8.66,11.35
"obesityclassIII",17,0.6134,3.9817,1.0717,4.1603,-9.34,-7.1,-6.44,-5.23,-3.67,-2.62,-2.11,-1.57,0.49,2.67,3.27,3.85,5.05,6.85,8.26,9.03,11.68
"obesityclassIII",18,0.7823,4.058,1.0776,4.5188,-9.28,-7.1,-6.45,-5.25,-3.67,-2.6,-2.06,-1.51,0.64,2.93,3.56,4.16,5.4,7.24,8.65,9.42,12.01
"obesityclassIII",19,0.983,4.1365,1.0834,4.9173,-9.18,-7.05,-6.41,-5.22,-3.64,-2.53,-1.99,-1.41,0.83,3.23,3.88,4.51,5.78,7.65,9.06,9.83,12.37
"obesityclassIII",20,1.2111,4.2175,1.089,5.3578,-9.06,-6.98,-6.35,-5.16,-3.56,-2.44,-1.88,-1.28,1.05,3.55,4.23,4.87,6.18,8.08,9.5,10.26,12.76
"obesityclassIII",21,1.4621,4.3013,1.0946,5.8419,-8.91,-6.88,-6.26,-5.08,-3.46,-2.32,-1.74,-1.13,1.29,3.89,4.59,5.26,6.6,8.52,9.95,10.7,13.17
"obesityclassIII",22,1.7312,4.3883,1.1,6.3715,-8.76,-6.77,-6.15,-4.97,-3.34,-2.18,-1.58,-0.95,1.55,4.25,4.97,5.66,7.04,8.99,10.42,11.17,13.61
"obesityclassIII",23,2.0133,4.4787,1.1054,6.95,-8.6,-6.64,-6.03,-4.85,-3.21,-2.02,-1.41,-0.76,1.83,4.62,5.36,6.07,7.48,9.46,10.9,11.65,14.06
"obesityclassIII",24,2.3031,4.5731,1.1106,7.5819,-8.44,-6.51,-5.9,-4.72,-3.07,-1.85,-1.23,-0.57,2.11,4.99,5.76,6.49,7.94,9.95,11.4,12.15,14.54
"obesityclassIII",25,2.5954,4.6717,1.1157,8.2733,-8.29,-6.39,-5.78,-4.6,-2.92,-1.69,-1.05,-0.37,2.39,5.37,6.17,6.91,8.39,10.44,11.9,12.65,15.03
"obesityclassIII",26,2.889,4.7748,1.1208,9.0301,-8.16,-6.27,-5.66,-4.48,-2.78,-1.52,-0.87,-0.17,2.67,5.75,6.57,7.34,8.85,10.93,12.41,13.17,15.54
"obesityclassIII",27,3.1862,4.8825,1.1257,9.858,-8.03,-6.15,-5.55,-4.35,-2.64,-1.35,-0.69,0.03,2.96,6.14,6.98,7.77,9.32,11.44,12.93,13.69,16.06
"obesityclassIII",28,3.4898,4.9947,1.1305,10.7632,-7.91,-6.04,-5.43,-4.23,-2.49,-1.18,-0.5,0.24,3.25,6.53,7.4,8.21,9.8,11.96,13.46,14.23,16.61
"obesityclassIII",29,3.8024,5.1116,1.1352,11.7525,-7.79,-5.92,-5.31,-4.1,-2.34,-1,-0.31,0.45,3.56,6.94,7.83,8.66,10.29,12.49,14.02,14.79,17.18
"obesityclassIII",30,4.1268,5.233,1.1398,12.8319,-7.67,-5.81,-5.19,-3.97,-2.18,-0.81,-0.1,0.67,3.87,7.36,8.27,9.13,10.8,13.04,14.59,15.37,17.78
"obesityclassIII",31,4.4659,5.3585,1.1443,14.0071,-7.55,-5.68,-5.06,-3.83,-2,-0.61,0.12,0.91,4.2,7.79,8.73,9.61,11.32,13.61,15.18,15.98,18.4
"obesityclassIII",32,4.8222,5.4882,1.1488,15.2849,-7.43,-5.54,-4.92,-3.67,-1.82,-0.4,0.35,1.16,4.54,8.24,9.21,10.11,11.87,14.2,15.81,16.61,19.06
"obesityclassIII",33,5.1945,5.6216,1.1532,16.6744,-7.29,-5.4,-4.77,-3.5,-1.62,-0.17,0.59,1.43,4.9,8.71,9.71,10.63,12.43,14.82,16.45,17.27,19.74
"obesityclassIII",34,5.58,5.7589,1.1576,18.1879,-7.15,-5.25,-4.61,-3.33,-1.41,0.07,0.85,1.71,5.27,9.2,10.22,11.17,13.01,15.45,17.12,17.95,20.45
"obesityclassIII",35,5.9757,5.8996,1.162,19.84,-7.01,-5.09,-4.45,-3.15,-1.2,0.31,1.11,1.99,5.66,9.69,10.74,11.72,13.61,16.11,17.8,18.64,21.18
"obesityclassIII",36,6.3787,6.0437,1.1664,21.6471,-6.88,-4.93,-4.28,-2.96,-0.98,0.57,1.38,2.28,6.05,10.2,11.28,12.28,14.22,16.77,18.5,19.36,21.93
"obesityclassIII",37,6.7856,6.1914,1.1708,23.6271,-6.74,-4.78,-4.12,-2.78,-0.76,0.82,1.66,2.57,6.44,10.71,11.81,12.85,14.83,17.44,19.21,20.08,22.7
"obesityclassIII",38,7.1932,6.3426,1.1751,25.801,-6.61,-4.63,-3.96,-2.6,-0.54,1.07,1.93,2.87,6.83,11.22,12.36,13.42,15.45,18.13,19.92,20.82,23.47
"obesityclassIII",39,7.599,6.4975,1.1794,28.1922,-6.49,-4.49,-3.81,-2.42,-0.33,1.31,2.19,3.15,7.22,11.73,12.9,13.99,16.08,18.81,20.65,21.56,24.26
"obesityclassIII",40,8.003,6.6561,1.1837,30.8235,-6.38,-4.35,-3.66,-2.26,-0.12,1.56,2.45,3.44,7.61,12.24,13.44,14.56,16.7,19.5,21.38,22.3,25.05
"obesityclassIII",41,8.4058,6.8185,1.188,33.719,-6.28,-4.23,-3.53,-2.1,0.08,1.79,2.71,3.72,8,12.76,13.99,15.14,17.33,20.2,22.11,23.06,25.86
